,silh_score,method,factor
67,0.006346782203763723,bbknn,Batch
68,0.0022207465954124928,bbknn,Batch
69,0.001666553900577128,bbknn,Batch
70,-0.004088824149221182,bbknn,Batch
71,-0.006850207224488258,bbknn,Batch
72,-0.0003463330212980509,bbknn,Batch
73,0.004873456433415413,bbknn,Batch
74,0.0036415245849639177,bbknn,Batch
75,0.0072869351133704185,bbknn,Batch
76,0.008750079199671745,bbknn,Batch
77,0.002740213181823492,bbknn,Batch
78,0.0011927883606404066,bbknn,Batch
79,0.002093204762786627,bbknn,Batch
80,0.008468635380268097,bbknn,Batch
81,0.005585502367466688,bbknn,Batch
82,0.003910078667104244,bbknn,Batch
83,0.005165018606930971,bbknn,Batch
84,0.017542846500873566,bbknn,Batch
85,0.005914047360420227,bbknn,Batch
86,0.006625616457313299,bbknn,Batch
87,0.008606262505054474,bbknn,Batch
88,0.012033116072416306,bbknn,Batch
89,0.005172944627702236,bbknn,Batch
90,0.006027953699231148,bbknn,Batch
91,0.012092450633645058,bbknn,Batch
92,0.007255382835865021,bbknn,Batch
93,0.002782958559691906,bbknn,Batch
94,0.0058879554271698,bbknn,Batch
95,0.010297153145074844,bbknn,Batch
96,0.0204677302390337,bbknn,Batch
97,0.010356406681239605,bbknn,Batch
98,0.037161581218242645,bbknn,Batch
99,0.030206287279725075,bbknn,Batch
100,0.015422901138663292,bbknn,Batch
101,0.01679450087249279,bbknn,Batch
102,0.02810964360833168,bbknn,Batch
103,0.005311701912432909,bbknn,Batch
104,0.018100539222359657,bbknn,Batch
105,0.0170199666172266,bbknn,Batch
106,0.021463537588715553,bbknn,Batch
107,0.021739136427640915,bbknn,Batch
108,0.03129708021879196,bbknn,Batch
109,0.025324514135718346,bbknn,Batch
110,-0.012117233127355576,bbknn,Batch
111,0.020729852840304375,bbknn,Batch
112,0.029044806957244873,bbknn,Batch
113,0.025016695261001587,bbknn,Batch
114,0.024831390008330345,bbknn,Batch
115,0.027560487389564514,bbknn,Batch
116,0.026033911854028702,bbknn,Batch
117,0.03629042208194733,bbknn,Batch
118,0.020648090168833733,bbknn,Batch
119,-0.006461134180426598,bbknn,Batch
120,0.007026475388556719,bbknn,Batch
121,0.028038429096341133,bbknn,Batch
122,0.022451134398579597,bbknn,Batch
123,0.031199224293231964,bbknn,Batch
124,0.026649966835975647,bbknn,Batch
125,0.020296279340982437,bbknn,Batch
126,0.02198323793709278,bbknn,Batch
127,0.03095141611993313,bbknn,Batch
128,0.00914887897670269,bbknn,Batch
129,0.016444247215986252,bbknn,Batch
130,0.032702747732400894,bbknn,Batch
131,0.029344456270337105,bbknn,Batch
132,0.0312984362244606,bbknn,Batch
