dose_character	treatment	name
10	S1028	Lapatinib (GW-572016) Ditosylate
10	S1028	Lapatinib (GW-572016) Ditosylate
10	S1028	Lapatinib (GW-572016) Ditosylate
10	S1028	Lapatinib (GW-572016) Ditosylate
10	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
100	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
1000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10000	S1028	Lapatinib (GW-572016) Ditosylate
10	S1029	Lenalidomide (CC-5013)
10	S1029	Lenalidomide (CC-5013)
10	S1029	Lenalidomide (CC-5013)
10	S1029	Lenalidomide (CC-5013)
10	S1029	Lenalidomide (CC-5013)
10	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
100	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
1000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10000	S1029	Lenalidomide (CC-5013)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
10	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
100	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
1000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10000	S1030	Panobinostat (LBH589)
10	S1032	Motesanib Diphosphate (AMG-706)
10	S1032	Motesanib Diphosphate (AMG-706)
10	S1032	Motesanib Diphosphate (AMG-706)
10	S1032	Motesanib Diphosphate (AMG-706)
10	S1032	Motesanib Diphosphate (AMG-706)
10	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
100	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
1000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10000	S1032	Motesanib Diphosphate (AMG-706)
10	S1033	Nilotinib (AMN-107)
10	S1033	Nilotinib (AMN-107)
10	S1033	Nilotinib (AMN-107)
10	S1033	Nilotinib (AMN-107)
10	S1033	Nilotinib (AMN-107)
10	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
100	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
1000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10000	S1033	Nilotinib (AMN-107)
10	S1040	Sorafenib Tosylate
10	S1040	Sorafenib Tosylate
10	S1040	Sorafenib Tosylate
10	S1040	Sorafenib Tosylate
10	S1040	Sorafenib Tosylate
10	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
100	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
1000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10000	S1040	Sorafenib Tosylate
10	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
100	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
1000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10000	S1044	Temsirolimus (CCI-779, NSC 683864)
10	S1045	Trichostatin A (TSA)
10	S1045	Trichostatin A (TSA)
10	S1045	Trichostatin A (TSA)
10	S1045	Trichostatin A (TSA)
10	S1045	Trichostatin A (TSA)
10	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
100	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
1000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10000	S1045	Trichostatin A (TSA)
10	S1046	Vandetanib (ZD6474)
10	S1046	Vandetanib (ZD6474)
10	S1046	Vandetanib (ZD6474)
10	S1046	Vandetanib (ZD6474)
10	S1046	Vandetanib (ZD6474)
10	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
100	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
1000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
10000	S1046	Vandetanib (ZD6474)
