id gene_short_name
ENSG00000021776.10 AQR
ENSG00000021826.14 CPS1
ENSG00000021852.12 C8B
ENSG00000022267.16 FHL1
ENSG00000022277.12 RTFDC1
ENSG00000022355.16 GABRA1
ENSG00000022556.15 NLRP2
ENSG00000022567.9 SLC45A4
ENSG00000022840.15 RNF10
ENSG00000022976.15 ZNF839
ENSG00000023041.11 ZDHHC6
ENSG00000023171.16 GRAMD1B
ENSG00000023191.16 RNH1
ENSG00000023228.13 NDUFS1
ENSG00000023287.12 RB1CC1
ENSG00000023318.7 ERP44
ENSG00000023330.14 ALAS1
ENSG00000023445.13 BIRC3
ENSG00000023516.8 AKAP11
ENSG00000023572.8 GLRX2
ENSG00000023608.4 SNAPC1
ENSG00000023697.12 DERA
ENSG00000023734.10 STRAP
ENSG00000023839.10 ABCC2
ENSG00000023892.10 DEF6
ENSG00000023902.13 PLEKHO1
ENSG00000023909.9 GCLM
ENSG00000024048.10 UBR2
ENSG00000024422.11 EHD2
ENSG00000024526.16 DEPDC1
ENSG00000024862.17 CCDC28A
ENSG00000025039.14 RRAGD
ENSG00000025156.12 HSF2
ENSG00000025293.16 PHF20
ENSG00000025423.11 HSD17B6
ENSG00000025434.18 NR1H3
ENSG00000025708.13 TYMP
ENSG00000025770.18 NCAPH2
ENSG00000025772.7 TOMM34
ENSG00000025796.13 SEC63
ENSG00000025800.13 KPNA6
ENSG00000026025.15 VIM
ENSG00000026036.21 RTEL1-TNFRSF6B
ENSG00000026103.21 FAS
ENSG00000026297.15 RNASET2
ENSG00000026508.17 CD44
ENSG00000026559.13 KCNG1
ENSG00000026652.13 AGPAT4
ENSG00000026751.16 SLAMF7
ENSG00000026950.16 BTN3A1
ENSG00000027001.9 MIPEP
ENSG00000027075.14 PRKCH
ENSG00000027644.4 INSRR
ENSG00000027697.13 IFNGR1
ENSG00000027847.13 B4GALT7
ENSG00000027869.11 SH2D2A
ENSG00000028116.16 VRK2
ENSG00000028137.18 TNFRSF1B
ENSG00000028203.17 VEZT
ENSG00000028277.21 POU2F2
ENSG00000028310.17 BRD9
ENSG00000028528.14 SNX1
ENSG00000028839.9 TBPL1
ENSG00000029153.14 ARNTL2
ENSG00000029363.16 BCLAF1
ENSG00000029364.11 SLC39A9
ENSG00000029534.19 ANK1
ENSG00000029559.6 IBSP
ENSG00000029639.10 TFB1M
ENSG00000029725.16 RABEP1
ENSG00000029993.14 HMGB3
ENSG00000030066.13 NUP160
ENSG00000030110.12 BAK1
ENSG00000030304.13 MUSK
ENSG00000030419.16 IKZF2
ENSG00000030582.17 GRN
ENSG00000031003.10 FAM13B
ENSG00000031081.10 ARHGAP31
ENSG00000031691.6 CENPQ
ENSG00000031698.12 SARS
ENSG00000031823.14 RANBP3
ENSG00000032219.18 ARID4A
ENSG00000032389.12 EIPR1
ENSG00000032444.15 PNPLA6
ENSG00000032742.17 IFT88
ENSG00000033011.11 ALG1
ENSG00000033030.13 ZCCHC8
ENSG00000033050.7 ABCF2
ENSG00000033100.16 CHPF2
ENSG00000033122.18 LRRC7
ENSG00000033170.16 FUT8
ENSG00000033178.12 UBA6
ENSG00000033327.12 GAB2
ENSG00000033627.16 ATP6V0A1
ENSG00000033800.13 PIAS1
ENSG00000033867.16 SLC4A7
ENSG00000034053.14 APBA2
ENSG00000034152.18 MAP2K3
ENSG00000034239.10 EFCAB1
ENSG00000034510.5 TMSB10
ENSG00000034533.11 ASTE1
ENSG00000034677.12 RNF19A
ENSG00000034693.14 PEX3
ENSG00000034713.7 GABARAPL2
ENSG00000034971.16 MYOC
ENSG00000035115.21 SH3YL1
ENSG00000035141.7 FAM136A
ENSG00000035403.17 VCL
ENSG00000035499.12 DEPDC1B
ENSG00000035664.11 DAPK2
ENSG00000035681.7 NSMAF
ENSG00000035687.9 ADSS
ENSG00000035720.7 STAP1
ENSG00000035862.12 TIMP2
ENSG00000035928.15 RFC1
ENSG00000036054.12 TBC1D23
ENSG00000036257.12 CUL3
ENSG00000036448.9 MYOM2
ENSG00000036473.6 OTC
ENSG00000036530.8 CYP46A1
ENSG00000036549.12 ZZZ3
ENSG00000036565.14 SLC18A1
ENSG00000036672.15 USP2
ENSG00000036828.15 CASR
ENSG00000037042.8 TUBG2
ENSG00000037241.7 RPL26L1
ENSG00000037280.15 FLT4
ENSG00000037474.14 NSUN2
ENSG00000037637.10 FBXO42
ENSG00000037749.11 MFAP3
ENSG00000037757.13 MRI1
ENSG00000037897.16 METTL1
ENSG00000037965.5 HOXC8
ENSG00000038002.8 AGA
ENSG00000038210.12 PI4K2B
ENSG00000038219.12 BOD1L1
ENSG00000038274.16 MAT2B
ENSG00000038295.7 TLL1
ENSG00000038358.14 EDC4
ENSG00000038382.18 TRIO
ENSG00000038427.15 VCAN
ENSG00000038532.14 CLEC16A
ENSG00000038945.14 MSR1
ENSG00000039068.18 CDH1
ENSG00000039123.15 SKIV2L2
ENSG00000039139.9 DNAH5
ENSG00000039319.16 ZFYVE16
ENSG00000039523.19 RIPOR1
ENSG00000039537.13 C6
ENSG00000039560.13 RAI14
ENSG00000039600.10 SOX30
ENSG00000039650.11 PNKP
ENSG00000039987.6 BEST2
ENSG00000040199.18 PHLPP2
ENSG00000040275.16 SPDL1
ENSG00000040341.17 STAU2
ENSG00000040487.12 PQLC2
ENSG00000040531.14 CTNS
ENSG00000040608.13 RTN4R
ENSG00000040633.12 PHF23
ENSG00000040731.10 CDH10
ENSG00000040933.15 INPP4A
ENSG00000041353.9 RAB27B
ENSG00000041357.15 PSMA4
ENSG00000041515.15 MYO16
ENSG00000041802.10 LSG1
ENSG00000041880.14 PARP3
ENSG00000041982.15 TNC
ENSG00000041988.15 THAP3
ENSG00000042062.11 RIPOR3
ENSG00000042088.13 TDP1
ENSG00000042286.14 AIFM2
ENSG00000042304.11 C2orf83
ENSG00000042317.16 SPATA7
ENSG00000042429.11 MED17
ENSG00000042445.13 RETSAT
ENSG00000042493.15 CAPG
ENSG00000042753.11 AP2S1
ENSG00000042781.12 USH2A
ENSG00000042813.7 ZPBP
ENSG00000042832.11 TG
ENSG00000042980.12 ADAM28
ENSG00000043039.6 BARX2
ENSG00000043093.13 DCUN1D1
ENSG00000043143.20 JADE2
ENSG00000043355.11 ZIC2
ENSG00000043462.11 LCP2
ENSG00000043514.15 TRIT1
ENSG00000043591.5 ADRB1
ENSG00000044012.3 GUCA2B
ENSG00000044090.8 CUL7
ENSG00000044115.20 CTNNA1
ENSG00000044446.11 PHKA2
ENSG00000044459.14 CNTLN
ENSG00000044524.10 EPHA3
ENSG00000044574.7 HSPA5
ENSG00000046604.12 DSG2
ENSG00000046647.13 GEMIN8
ENSG00000046651.14 OFD1
ENSG00000046653.14 GPM6B
ENSG00000046774.9 MAGEC2
ENSG00000046889.18 PREX2
ENSG00000047056.14 WDR37
ENSG00000047188.15 YTHDC2
ENSG00000047230.14 CTPS2
ENSG00000047249.17 ATP6V1H
ENSG00000047315.15 POLR2B
ENSG00000047346.12 FAM214A
ENSG00000047365.11 ARAP2
ENSG00000047410.13 TPR
ENSG00000047457.13 CP
ENSG00000047578.12 KIAA0556
ENSG00000047579.19 DTNBP1
ENSG00000047597.5 XK
ENSG00000047617.14 ANO2
ENSG00000047621.11 C12orf4
ENSG00000047634.14 SCML1
ENSG00000047644.18 WWC3
ENSG00000047648.21 ARHGAP6
ENSG00000047662.4 FAM184B
ENSG00000047849.21 MAP4
ENSG00000047932.13 GOPC
ENSG00000047936.10 ROS1
ENSG00000048028.11 USP28
ENSG00000048052.21 HDAC9
ENSG00000048140.17 TSPAN17
ENSG00000048162.20 NOP16
ENSG00000048342.15 CC2D2A
ENSG00000048392.11 RRM2B
ENSG00000048405.9 ZNF800
ENSG00000048462.10 TNFRSF17
ENSG00000048471.13 SNX29
ENSG00000048540.14 LMO3
ENSG00000048544.5 MRPS10
ENSG00000048545.13 GUCA1A
ENSG00000048649.13 RSF1
ENSG00000048707.13 VPS13D
ENSG00000048740.18 CELF2
ENSG00000048828.16 FAM120A
ENSG00000048991.16 R3HDM1
ENSG00000049089.13 COL9A2
ENSG00000049130.14 KITLG
ENSG00000049167.13 ERCC8
ENSG00000049192.14 ADAMTS6
ENSG00000049239.12 H6PD
ENSG00000049245.12 VAMP3
ENSG00000049246.14 PER3
ENSG00000049247.13 UTS2
ENSG00000049249.8 TNFRSF9
ENSG00000049283.17 EPN3
ENSG00000049323.15 LTBP1
ENSG00000049449.8 RCN1
ENSG00000049540.16 ELN
ENSG00000049541.10 RFC2
ENSG00000049618.22 ARID1B
ENSG00000049656.13 CLPTM1L
ENSG00000049759.17 NEDD4L
ENSG00000049768.14 FOXP3
ENSG00000049769.12 PPP1R3F
ENSG00000049860.13 HEXB
ENSG00000049883.14 PTCD2
ENSG00000050030.13 NEXMIF
ENSG00000050130.17 JKAMP
ENSG00000050165.17 DKK3
ENSG00000050327.14 ARHGEF5
ENSG00000050344.8 NFE2L3
ENSG00000050393.11 MCUR1
ENSG00000050405.13 LIMA1
ENSG00000050426.15 LETMD1
ENSG00000050438.16 SLC4A8
ENSG00000050555.17 LAMC3
ENSG00000050628.20 PTGER3
ENSG00000050730.15 TNIP3
ENSG00000050748.17 MAPK9
ENSG00000050767.15 COL23A1
ENSG00000050820.16 BCAR1
ENSG00000051009.10 FAM160A2
ENSG00000051108.14 HERPUD1
ENSG00000051128.18 HOMER3
ENSG00000051180.16 RAD51
ENSG00000051341.13 POLQ
ENSG00000051382.8 PIK3CB
ENSG00000051523.10 CYBA
ENSG00000051596.9 THOC3
ENSG00000051620.10 HEBP2
ENSG00000051825.14 MPHOSPH9
ENSG00000052126.14 PLEKHA5
ENSG00000052344.15 PRSS8
ENSG00000052723.11 SIKE1
ENSG00000052749.13 RRP12
ENSG00000052795.12 FNIP2
ENSG00000052802.12 MSMO1
ENSG00000052841.14 TTC17
ENSG00000052850.5 ALX4
ENSG00000053108.16 FSTL4
ENSG00000053254.15 FOXN3
ENSG00000053328.8 METTL24
ENSG00000053371.12 AKR7A2
ENSG00000053372.4 MRTO4
ENSG00000053438.8 NNAT
ENSG00000053501.12 USE1
ENSG00000053524.12 MCF2L2
ENSG00000053702.14 NRIP2
ENSG00000053747.15 LAMA3
ENSG00000053770.11 AP5M1
ENSG00000053900.10 ANAPC4
ENSG00000053918.15 KCNQ1
ENSG00000054116.11 TRAPPC3
ENSG00000054118.13 THRAP3
ENSG00000054148.17 PHPT1
ENSG00000054179.11 ENTPD2
ENSG00000054219.10 LY75
ENSG00000054267.21 ARID4B
ENSG00000054277.13 OPN3
ENSG00000054282.15 SDCCAG8
ENSG00000054356.13 PTPRN
ENSG00000054392.12 HHAT
ENSG00000054523.17 KIF1B
ENSG00000054598.6 FOXC1
ENSG00000054611.13 TBC1D22A
ENSG00000054654.16 SYNE2
ENSG00000054690.13 PLEKHH1
ENSG00000054793.13 ATP9A
ENSG00000054796.12 SPO11
ENSG00000054803.3 CBLN4
ENSG00000054938.15 CHRDL2
ENSG00000054965.10 FAM168A
ENSG00000054967.12 RELT
ENSG00000054983.16 GALC
ENSG00000055044.10 NOP58
ENSG00000055070.16 SZRD1
ENSG00000055118.14 KCNH2
ENSG00000055130.15 CUL1
ENSG00000055147.18 FAM114A2
ENSG00000055163.19 CYFIP2
ENSG00000055208.18 TAB2
ENSG00000055211.12 GINM1
ENSG00000055332.16 EIF2AK2
ENSG00000055483.19 USP36
ENSG00000055609.17 KMT2C
ENSG00000055732.12 MCOLN3
ENSG00000055813.5 CCDC85A
ENSG00000055917.15 PUM2
ENSG00000055950.16 MRPL43
ENSG00000055955.15 ITIH4
ENSG00000055957.10 ITIH1
ENSG00000056050.6 HPF1
ENSG00000056097.15 ZFR
ENSG00000056277.15 ZNF280C
ENSG00000056291.17 NPFFR2
ENSG00000056487.15 PHF21B
ENSG00000056558.10 TRAF1
ENSG00000056586.15 RC3H2
ENSG00000056736.9 IL17RB
ENSG00000056972.18 TRAF3IP2
ENSG00000056998.19 GYG2
ENSG00000057019.15 DCBLD2
ENSG00000057149.15 SERPINB3
ENSG00000057252.12 SOAT1
ENSG00000057294.14 PKP2
ENSG00000057468.6 MSH4
ENSG00000057593.13 F7
ENSG00000057608.16 GDI2
ENSG00000057657.15 PRDM1
ENSG00000057663.14 ATG5
ENSG00000057704.12 TMCC3
ENSG00000057757.9 PITHD1
ENSG00000057935.13 MTA3
ENSG00000058056.8 USP13
ENSG00000058063.15 ATP11B
ENSG00000058085.14 LAMC2
ENSG00000058091.16 CDK14
ENSG00000058262.9 SEC61A1
ENSG00000058272.16 PPP1R12A
ENSG00000058335.15 RASGRF1
ENSG00000058404.19 CAMK2B
ENSG00000058453.16 CROCC
ENSG00000058600.15 POLR3E
ENSG00000058668.14 ATP2B4
ENSG00000058673.16 ZC3H11A
ENSG00000058729.10 RIOK2
ENSG00000058799.14 YIPF1
ENSG00000058804.11 NDC1
ENSG00000058866.14 DGKG
ENSG00000059122.16 FLYWCH1
ENSG00000059145.18 UNKL
ENSG00000059377.16 TBXAS1
ENSG00000059378.12 PARP12
ENSG00000059573.8 ALDH18A1
ENSG00000059588.9 TARBP1
ENSG00000059691.11 GATB
ENSG00000059728.10 MXD1
ENSG00000059758.7 CDK17
ENSG00000059769.19 DNAJC25
ENSG00000059804.15 SLC2A3
ENSG00000059915.16 PSD
ENSG00000060069.16 CTDP1
ENSG00000060138.12 YBX3
ENSG00000060140.8 STYK1
ENSG00000060237.16 WNK1
ENSG00000060303.5 RPS17P5
ENSG00000060339.13 CCAR1
ENSG00000060491.16 OGFR
ENSG00000060558.3 GNA15
ENSG00000060566.13 CREB3L3
ENSG00000060642.10 PIGV
ENSG00000060656.19 PTPRU
ENSG00000060688.12 SNRNP40
ENSG00000060709.14 RIMBP2
ENSG00000060718.20 COL11A1
ENSG00000060749.14 QSER1
ENSG00000060762.18 MPC1
ENSG00000060971.17 ACAA1
ENSG00000060982.14 BCAT1
ENSG00000061273.17 HDAC7
